用户ID,价格,手机型号,销量,评论得分
100008000000.0,5999,Apple_iPhone_11,1377123,1377.2753643161159
100010000000.0,3589,荣耀V30_PRO_李现同款,106524,1371.7142011311266
100005000000.0,999,荣耀20青春版_AMOLED屏幕指纹_4000mAh大电池,178754,1227.0423566560046
100007000000.0,1289,荣耀9X_麒麟810_4000mAh续航,1170369,1343.845960336973
100003000000.0,3988,【超级爆款】华为_HUAWEI_P30,707301,1523.7440143528509
100000000000.0,7299,Apple_iPhone_XS,1341351,1177.2199867954523
100000000000.0,1088,荣耀8X_千元屏霸_91%屏占比,2155085,805.2371669411665
100005000000.0,1589,荣耀20S_李现同款_3200万人像超级夜景,485274,1259.2325955266517
100009000000.0,4999,华为_HUAWEI_Mate,294813,1425.0344897622288
100008000000.0,999,Redmi_Note8_4800万全场景四摄,544084,1298.738270447356
100000000000.0,4999,Apple_iPhone_XR,2213126,779.3453696201798
